,channel,n_subscribe,uploaded_date,title,translated_title,n_view,n_like,duration_min,keywords,url,photo_link,extraction_date,n_comment
0,李子柒 Liziqi,16700000,"Jan 31, 2019",A special program on New Year snacks  年货小零食特辑 -花生瓜子糖葫芦，肉干果脯雪花酥 | Liziqi,"Peanut and melon seeds, dried meat, dried fruit, snowflake cake - snacks for Spring Festival",108398302,1349475,10.18,"liziqi, Lý, Tử, Thất, 中国风, 田园风, Chinese girl, Chinese food, 李子柒, 美食, 中国美食, 年货, 小零食, 儿时记忆, 饮食文化, 年味, LýTửThất, 리즈치, ly tu that, liziqi masak terbaru, 李子柒 年货小零食, liziqi cooking",https://youtu.be/FWMIPukvdsQ,https://i.ytimg.com/vi/FWMIPukvdsQ/maxresdefault.jpg,2022-03-08,51956
1,李子柒 Liziqi,16700000,"Aug 11, 2019","Liuzhou ""Luosifen""| 吃得满足，嗦得过瘾，辣得舒坦，就一碗柳州螺蛳粉 | Liziqi Channel","Liuzhou ""Luosifen"": Slurpy, Spicy, and Absolutely Satisfying | Liziqi Channel",71110093,720875,10.08,"lý tử thất, Chinese food, Chinese girl, li ziqi, 李子柒, 螺蛳粉, 美食, 饮食文化, 中国风, 田园, 诗意, 生活方式, liziqi cooking",https://youtu.be/_jUJrIWp2I4,https://i.ytimg.com/vi/_jUJrIWp2I4/maxresdefault.jpg,2022-03-08,34640
2,李子柒 Liziqi,16700000,"Oct 8, 2018","吊柿饼|It’s a red mountain, and in the fall, it’s natural to make some sweet persimmons.|Liziqi channel","It’s a red mountain, and in the fall, it’s natural to make some sweet persimmons.",66479335,510687,5.22,"liziqi, Lý, Tử, Thất, 中国风, 田园风, Chinese girl, Chinese food, 李子柒, 美食, 中国美食, 吊柿饼, 饮食文化, 诗意, 生活方式",https://youtu.be/QHTnuI9IKBA,https://i.ytimg.com/vi/QHTnuI9IKBA/maxresdefault.jpg,2022-03-08,19381
3,李子柒 Liziqi,16700000,"Sep 14, 2020",A pot of wine among watermelon fields.So…The life of watermelons and grapes?瓜间一壶酒，西瓜和葡萄的一生？丨Liziqi,A pot of wine among watermelon fields.So…The life of watermelons and grapes?瓜间一壶酒，西瓜和葡萄的一生？丨Liziqi,62337464,938646,20.55,"liziqi, liziqi vlogger, 中國美食, 中華傳統文化, Chinese food, 饮食文化, 中国风, 田园, 美食, ly tu that, 李子柒, lý tử thất, 李子柒 瓜间一壶酒, 李子柒 秋之卷, liziqi channel, 李子柒最新, 李子柒最新2020, 李子柒 藕粉, liziqi masak terbaru, liziqi cooking",https://youtu.be/kgEgOi32CE0,https://i.ytimg.com/vi/kgEgOi32CE0/maxresdefault.jpg,2022-03-08,42799
4,李子柒 Liziqi,16700000,"Sep 25, 2018",Bamboo Sofa竹沙发 | 为生活添一抹淡雅绿意，用砍下的竹子制些物件儿 |Liziqi channel,Using bamboo to make some sophisticated old furniture——Bamboo Sofa,61502072,1144079,6.75,"liziqi, Lý, Tử, Thất, 中国风, 田园风, Chinese girl, Chinese food, 李子柒, 诗意, 生活方式, 竹器, 手工, 传统器具, liziqi cooking",https://youtu.be/LTejJnrzGPM,https://i.ytimg.com/vi/LTejJnrzGPM/maxresdefault.jpg,2022-03-08,58648
5,李子柒 Liziqi,16700000,"Jan 20, 2020",棉...棉花的一生，我保证下次想个新系列名字哈哈哈 The Purpose of Cotton丨Liziqi Channel,"The…The Life of Cotton, I promise next time I will come up with a new name of series.",50439869,795417,11.33,"lý tử thất, liziqi, 李子柒Liziqi, 李子柒, 리즈치, LýTửThất, Li Ziqi, 中国风, Chinese girl, 中国美食, li ziqi, liziqi channel, liziqi vlogger, li ziqi cooking, chinese food, liziqi cooking, liziqi masak, #李子柒",https://youtu.be/hR4DiU8wcVk,https://i.ytimg.com/vi/hR4DiU8wcVk/hqdefault.jpg,2022-03-08,37337
6,李子柒 Liziqi,16700000,"Jul 30, 2019","""Red Sapphire Tomato Sauce""| 抢在番茄掉果之前，全收回来弄点好吃的——红宝石番茄酱 | Liziqi Channel","Before the tomatoes fall, pick them home and get something delicious - Ketchup  | Liziqi Channel",47208241,523557,9.27,"lý tử thất, Chinese food, Chinese girl, li ziqi, 李子柒, 生活方式, 田园, 饮食文化, 番茄, 诗意, 美食, 中国风, liziqi cooking, 李子柒更新, 李子柒 蔬菜园, 李子柒 番茄果, 番茄酱, 番茄酱红宝石, 李子柒番茄, 番茄的一生, 番茄牛腩 李子柒, liziqi tomato, 李子柒 tomato",https://youtu.be/IL1tDfWDbsA,https://i.ytimg.com/vi/IL1tDfWDbsA/maxresdefault.jpg,2022-03-08,22003
7,李子柒 Liziqi,16700000,"Nov 6, 2017",honey and grapefruit tea | 寒意渐浓的深秋，来碗暖人心脾的蜂蜜柚子茶可好 | 丨Liziqi Channel,It's cold in late autumn. How about a bowl of honey and grapefruit tea,44971380,376057,3.3,"Chinese girl, Chinese food, 李子柒, 美食, 美味, 中国美食, 蜂蜜柚子茶, 柚子茶, liziqi",https://youtu.be/wUJ-57SAE5A,https://i.ytimg.com/vi/wUJ-57SAE5A/maxresdefault.jpg,2022-03-08,10540
8,李子柒 Liziqi,16700000,"Oct 10, 2020","The life of purple rice, pumpkins, and … peanuts紫米南瓜的一生…，还有花生丨Liziqi Channel","The life of purple rice, pumpkins, and … peanuts紫米南瓜的一生…，还有花生丨Liziqi Channel",44208484,679497,22.73,"liziqi, liziqi vlogger, 中國美食, 中華傳統文化, Chinese food, 饮食文化, 中国风, 田园, 美食, ly tu that, 李子柒, lý tử thất, 李子柒最新, 李子柒采访, 李子柒最新2020, 李子柒藕粉, 李子柒 生活美食, 李子柒 烹饪, liziqi masak terbaru",https://youtu.be/rJSZfrJFluw,https://i.ytimg.com/vi/rJSZfrJFluw/maxresdefault.jpg,2022-03-08,35292
9,李子柒 Liziqi,16700000,"Jul 20, 2020",The life of cucumbers黄瓜的一生丨Liziqi Channel,The life of cucumbers黄瓜的一生丨Liziqi Channel,41543350,599485,19.83,"liziqi, liziqi vlogger, 中國美食, 中華傳統文化, Chinese food, 饮食文化, 中国风, 田园, 美食, ly tu that, 李子柒, lý tử thất, 李子柒夏天的味道, 李子柒最新, 李子柒生活, liziqi cooking, liziqi masak terbaru, 李子柒 黄瓜的一生, 李子柒 烹饪",https://youtu.be/oi38cQMORQY,https://i.ytimg.com/vi/oi38cQMORQY/maxresdefault.jpg,2022-03-08,31528
